pub_year,topic_field_display_name,num_publications,cross_collaboration_metric,authors
1900,Agricultural and Biological Sciences,5,1.0,11
1900,Arts and Humanities,12,0.9375,20
1900,"Biochemistry, Genetics and Molecular Biology",3,0.6666666666666666,9
1900,"Business, Management and Accounting",1,0.0,0
1900,Chemical Engineering,1,1.0,1
1900,Dentistry,1,0.0,0
1900,Earth and Planetary Sciences,1,1.0,2
1900,"Economics, Econometrics and Finance",3,1.0,5
1900,Engineering,3,1.0,4
1900,Environmental Science,6,1.0,9
1900,Health Professions,7,0.8571428571428571,6
1900,Immunology and Microbiology,2,1.0,2
1900,Medicine,17,0.8333333333333334,21
1900,Neuroscience,2,1.0,2
1900,Physics and Astronomy,2,1.0,2
1900,Social Sciences,10,0.9047619047619048,20
1900,Veterinary,1,1.0,1
1901,Agricultural and Biological Sciences,6,1.0,19
1901,Arts and Humanities,15,0.9047619047619048,40
1901,"Biochemistry, Genetics and Molecular Biology",1,1.0,12
1901,"Business, Management and Accounting",1,1.0,2
1901,Chemistry,2,1.0,2
1901,Computer Science,2,1.0,3
1901,"Economics, Econometrics and Finance",2,1.0,7
1901,Energy,1,1.0,2
1901,Engineering,8,0.625,9
1901,Environmental Science,6,0.8333333333333334,14
1901,Health Professions,2,0.5,9
1901,Mathematics,4,1.0,7
1901,Medicine,15,0.7058823529411765,34
1901,Neuroscience,1,0.0,0
1901,Nursing,1,1.0,1
1901,Physics and Astronomy,6,1.0,9
1901,Psychology,1,1.0,2
1901,Social Sciences,13,0.7333333333333333,33
1902,Agricultural and Biological Sciences,5,0.8,27
1902,Arts and Humanities,20,0.92,66
1902,"Biochemistry, Genetics and Molecular Biology",2,0.6666666666666666,14
1902,"Business, Management and Accounting",4,0.25,5
1902,Chemical Engineering,1,0.0,0
1902,Chemistry,1,1.0,3
1902,Earth and Planetary Sciences,2,1.0,6
1902,Energy,1,1.0,3
1902,Engineering,1,1.0,12
1902,Environmental Science,5,0.3333333333333333,17
1902,Health Professions,4,1.0,17
1902,Immunology and Microbiology,2,0.5,3
1902,Materials Science,1,0.0,0
1902,Mathematics,2,0.5,8
1902,Medicine,17,0.8333333333333334,51
1902,Physics and Astronomy,1,1.0,10
1902,Psychology,1,1.0,3
1902,Social Sciences,17,0.8260869565217391,51
1903,Agricultural and Biological Sciences,4,1.0,32
1903,Arts and Humanities,17,0.9,85
1903,"Biochemistry, Genetics and Molecular Biology",2,1.0,19
1903,Computer Science,3,0.6666666666666666,5
1903,Earth and Planetary Sciences,1,1.0,8
1903,"Economics, Econometrics and Finance",1,1.0,8
1903,Engineering,7,0.875,28
1903,Environmental Science,1,0.0,0
1903,Health Professions,2,0.5,19
1903,Immunology and Microbiology,1,0.0,0
1903,Materials Science,3,0.3333333333333333,1
1903,Mathematics,2,1.0,11
