topic_field_display_name,id,pub_year
Agricultural and Biological Sciences,390,1899
Arts and Humanities,1375,1899
"Biochemistry, Genetics and Molecular Biology",215,1899
"Business, Management and Accounting",89,1899
Chemical Engineering,18,1899
Chemistry,99,1899
Computer Science,112,1899
Decision Sciences,28,1899
Dentistry,19,1899
Earth and Planetary Sciences,170,1899
"Economics, Econometrics and Finance",160,1899
Energy,25,1899
Engineering,565,1899
Environmental Science,228,1899
Health Professions,446,1899
Immunology and Microbiology,30,1899
Materials Science,72,1899
Mathematics,129,1899
Medicine,1365,1899
Neuroscience,71,1899
Nursing,22,1899
"Pharmacology, Toxicology and Pharmaceutics",21,1899
Physics and Astronomy,210,1899
Psychology,95,1899
Social Sciences,1170,1899
Veterinary,9,1899
"Business, Management and Accounting",1,2024
Social Sciences,1,2021
Immunology and Microbiology,1,1903
Computer Science,1,2024
Dentistry,1,1950
Chemical Engineering,1,1901
Decision Sciences,1,1901
Veterinary,1,1936
Chemical Engineering,1,1937
Energy,1,1901
Materials Science,1,1901
Computer Science,1,1902
Decision Sciences,1,1902
Nursing,1,1902
Chemical Engineering,1,1903
Chemistry,1,2022
Decision Sciences,1,1903
Dentistry,1,1903
Psychology,1,1953
Decision Sciences,1,1954
Dentistry,1,1959
Computer Science,1,1900
Decision Sciences,1,1900
Dentistry,1,1934
Chemical Engineering,1,1900
Chemistry,1,1900
Energy,1,1935
Decision Sciences,1,1938
Dentistry,1,1938
Neuroscience,1,1901
Nursing,1,1901
Dentistry,1,1936
Energy,1,1933
"Biochemistry, Genetics and Molecular Biology",1,1972
"Pharmacology, Toxicology and Pharmaceutics",1,1932
Veterinary,1,1998
Decision Sciences,1,1937
Dentistry,1,1937
Energy,1,1937
"Business, Management and Accounting",1,1975
Chemical Engineering,1,1975
Decision Sciences,1,1975
Earth and Planetary Sciences,1,1975
"Pharmacology, Toxicology and Pharmaceutics",1,1931
Chemical Engineering,1,1949
Chemical Engineering,1,1939
Dentistry,1,1973
Agricultural and Biological Sciences,1,1975
Arts and Humanities,1,1975
"Biochemistry, Genetics and Molecular Biology",1,1975
Dentistry,1,1960
Energy,1,1998
Veterinary,1,1951
Veterinary,1,1930
Veterinary,1,1959
Dentistry,1,1931
Energy,1,1931
Dentistry,1,1961
"Pharmacology, Toxicology and Pharmaceutics",1,1951
Medicine,1,1975
Physics and Astronomy,1,1975
Veterinary,1,1976
Chemical Engineering,1,1998
Decision Sciences,1,1929
Immunology and Microbiology,1,1941
"Pharmacology, Toxicology and Pharmaceutics",1,1941
Chemical Engineering,1,1930
Dentistry,1,1930
Energy,1,1930
Chemical Engineering,1,1941
Materials Science,1,2018
Physics and Astronomy,1,2018
Chemical Engineering,1,1995
Decision Sciences,1,1995
"Biochemistry, Genetics and Molecular Biology",1,2018
"Business, Management and Accounting",1,2018
Computer Science,1,2018
Engineering,1,2018
Environmental Science,1,2018
Energy,1,1929
Arts and Humanities,1,1940
"Business, Management and Accounting",1,1940
Physics and Astronomy,1,1940
Chemical Engineering,1,1926
Decision Sciences,1,1926
Physics and Astronomy,1,1996
Energy,1,1926
Energy,1,1927
Veterinary,1,1927
Dentistry,1,1925
Energy,1,1925
Neuroscience,1,1925
Dentistry,1,1942
Dentistry,1,1924
Immunology and Microbiology,1,1924
Nursing,1,1924
Chemical Engineering,1,1923
Decision Sciences,1,1923
Mathematics,1,1995
Neuroscience,1,1921
Chemical Engineering,1,1996
Decision Sciences,1,1996
Earth and Planetary Sciences,1,1996
Environmental Science,1,1996
"Pharmacology, Toxicology and Pharmaceutics",1,1922
Nursing,1,1920
Chemical Engineering,1,1921
Decision Sciences,1,1921
Immunology and Microbiology,1,1921
Materials Science,1,1921
Chemical Engineering,1,2022
Materials Science,1,1981
Dentistry,1,1943
Earth and Planetary Sciences,1,1981
Neuroscience,1,1980
Veterinary,1,1942
Immunology and Microbiology,1,1918
