work_id,topic_id,topic_display_name,topic_score,topic_sub_field_display_name,topic_field_display_name,topic_domain_display_name
https://openalex.org/W4316590190,https://openalex.org/T11925,Not Kept,0.8657,Not Kept,,
https://openalex.org/W4316590190,https://openalex.org/T12399,Not Kept,0.7592,Not Kept,,
https://openalex.org/W4301026388,https://openalex.org/T10494,Not Kept,0.9288,Not Kept,,
https://openalex.org/W2976893159,https://openalex.org/T13854,Not Kept,0.758,Not Kept,,
https://openalex.org/W4287001799,https://openalex.org/T10022,Not Kept,0.9991,Not Kept,,
https://openalex.org/W4287001799,https://openalex.org/T11429,Not Kept,0.998,Not Kept,,
https://openalex.org/W4287001799,https://openalex.org/T10299,Not Kept,0.9978,Not Kept,,
https://openalex.org/W4287001799,https://openalex.org/T11637,Not Kept,0.9944,Not Kept,,
https://openalex.org/W4287001799,https://openalex.org/T11127,Not Kept,0.9907,Not Kept,,
https://openalex.org/W4290981416,https://openalex.org/T11470,Not Kept,0.9937,Not Kept,,
https://openalex.org/W4290981416,https://openalex.org/T12858,Not Kept,0.94,Not Kept,,
https://openalex.org/W2594128570,https://openalex.org/T11243,Not Kept,0.9997,Not Kept,,
https://openalex.org/W2594128570,https://openalex.org/T11586,Not Kept,0.987,Not Kept,,
https://openalex.org/W2594128570,https://openalex.org/T10549,Not Kept,0.9597,Not Kept,,
https://openalex.org/W4213406187,https://openalex.org/T10557,Not Kept,0.8127,Not Kept,,
https://openalex.org/W4299855471,https://openalex.org/T11112,Not Kept,0.8921,Not Kept,,
https://openalex.org/W4299855471,https://openalex.org/T11495,Not Kept,0.8915,Not Kept,,
https://openalex.org/W4299855471,https://openalex.org/T10613,Not Kept,0.8604,Not Kept,,
https://openalex.org/W1561533587,https://openalex.org/T12736,Criminal Justice and Social Control Systems,0.9606,Law,Social Sciences,Social Sciences
https://openalex.org/W1561533587,https://openalex.org/T12842,Patterns and Impacts of Drug Use in Brazil,0.9146,Demography,Social Sciences,Social Sciences
https://openalex.org/W2264071829,https://openalex.org/T10159,Not Kept,0.9451,Not Kept,Physics and Astronomy,Physical Sciences
https://openalex.org/W2264071829,https://openalex.org/T11320,Not Kept,0.938,Not Kept,Earth and Planetary Sciences,Physical Sciences
https://openalex.org/W2292781106,https://openalex.org/T12134,Not Kept,0.9711,Not Kept,Agricultural and Biological Sciences,Life Sciences
https://openalex.org/W2292781106,https://openalex.org/T11750,Not Kept,0.9569,Not Kept,Agricultural and Biological Sciences,Life Sciences
https://openalex.org/W2292781106,https://openalex.org/T11436,Not Kept,0.9529,Not Kept,Agricultural and Biological Sciences,Life Sciences
https://openalex.org/W2487818794,https://openalex.org/T11667,Not Kept,0.9717,Not Kept,Engineering,Physical Sciences
https://openalex.org/W2534962292,https://openalex.org/T13129,Not Kept,0.9061,Not Kept,Materials Science,Physical Sciences
https://openalex.org/W2625328566,https://openalex.org/T10874,Not Kept,0.9797,Not Kept,"Biochemistry, Genetics and Molecular Biology",Life Sciences
https://openalex.org/W4288331592,https://openalex.org/T13396,Not Kept,0.9106,Not Kept,Agricultural and Biological Sciences,Life Sciences
https://openalex.org/W4290099293,https://openalex.org/T11772,Not Kept,0.5924,Not Kept,"Biochemistry, Genetics and Molecular Biology",Life Sciences
https://openalex.org/W4290981418,https://openalex.org/T12310,Not Kept,0.9692,Not Kept,Agricultural and Biological Sciences,Life Sciences
https://openalex.org/W4290981418,https://openalex.org/T11229,Not Kept,0.9342,Not Kept,Agricultural and Biological Sciences,Life Sciences
https://openalex.org/W4300472991,https://openalex.org/T11772,Not Kept,0.9574,Not Kept,"Biochemistry, Genetics and Molecular Biology",Life Sciences
https://openalex.org/W4300472991,https://openalex.org/T10549,Not Kept,0.9519,Not Kept,Medicine,Health Sciences
https://openalex.org/W4300472991,https://openalex.org/T12770,Not Kept,0.9516,Not Kept,"Biochemistry, Genetics and Molecular Biology",Life Sciences
https://openalex.org/W4319047904,https://openalex.org/T13952,"Education, Technology, and Territorial Intelligence",0.838,Education,Social Sciences,Social Sciences
https://openalex.org/W1650023746,https://openalex.org/T10121,Not Kept,0.6009,Not Kept,Engineering,Physical Sciences
https://openalex.org/W1650023746,https://openalex.org/T13801,Not Kept,0.5854,Not Kept,Environmental Science,Physical Sciences
https://openalex.org/W1650023746,https://openalex.org/T11692,Not Kept,0.5418,Not Kept,Health Professions,Health Sciences
https://openalex.org/W2635976061,https://openalex.org/T10968,Not Kept,0.295,Not Kept,Mathematics,Physical Sciences
https://openalex.org/W2635976061,https://openalex.org/T12423,Software Reliability Assessment and Prediction,0.2692,Software,Computer Science,Physical Sciences
https://openalex.org/W2730528915,https://openalex.org/T14186,Not Kept,0.903,Not Kept,Health Professions,Health Sciences
https://openalex.org/W3178722630,https://openalex.org/T10664,Sentiment Analysis and Opinion Mining,0.9986,Artificial Intelligence,Computer Science,Physical Sciences
https://openalex.org/W3178722630,https://openalex.org/T13083,Automatic Keyword Extraction from Textual Data,0.9586,Artificial Intelligence,Computer Science,Physical Sciences
https://openalex.org/W4288090456,https://openalex.org/T13129,Not Kept,0.986,Not Kept,Materials Science,Physical Sciences
https://openalex.org/W4288090456,https://openalex.org/T10840,Not Kept,0.9589,Not Kept,Engineering,Physical Sciences
https://openalex.org/W4288090456,https://openalex.org/T10396,Not Kept,0.9252,Not Kept,Engineering,Physical Sciences
https://openalex.org/W4288104205,https://openalex.org/T13807,Digital Communication and Information Studies,0.1426,Computer Networks and Communications,Computer Science,Physical Sciences
https://openalex.org/W4300432811,https://openalex.org/T13641,Not Kept,0.8192,Not Kept,Arts and Humanities,Social Sciences
https://openalex.org/W4300432811,https://openalex.org/T14021,Not Kept,0.8041,Not Kept,Arts and Humanities,Social Sciences
https://openalex.org/W4300432811,https://openalex.org/T13070,Not Kept,0.8015,Not Kept,Arts and Humanities,Social Sciences
https://openalex.org/W4366974590,https://openalex.org/T11475,Territorial Governance and Environmental Participation,0.2133,Sociology and Political Science,Social Sciences,Social Sciences
https://openalex.org/W4387659385,https://openalex.org/T11743,Critique of Political Economy and Capitalist Development,0.1028,Sociology and Political Science,Social Sciences,Social Sciences
https://openalex.org/W4387659385,https://openalex.org/T11862,Not Kept,0.0548,Not Kept,Agricultural and Biological Sciences,Life Sciences
https://openalex.org/W2275976041,https://openalex.org/T13752,Not Kept,0.9835,Not Kept,Engineering,Physical Sciences
https://openalex.org/W2288375607,https://openalex.org/T12141,Not Kept,0.9938,Not Kept,Engineering,Physical Sciences
https://openalex.org/W2288375607,https://openalex.org/T10313,Not Kept,0.992,Not Kept,Materials Science,Physical Sciences
https://openalex.org/W2288375607,https://openalex.org/T11799,Not Kept,0.9625,Not Kept,Engineering,Physical Sciences
https://openalex.org/W2718861368,https://openalex.org/T11474,Evolution and Impacts of Event Tourism,0.9569,Sociology and Political Science,Social Sciences,Social Sciences
https://openalex.org/W2718861368,https://openalex.org/T13070,Not Kept,0.9476,Not Kept,Arts and Humanities,Social Sciences
https://openalex.org/W2718861368,https://openalex.org/T11925,Not Kept,0.916,Not Kept,Agricultural and Biological Sciences,Life Sciences
https://openalex.org/W2756532426,https://openalex.org/T10153,Sociology of Public Action and Professional Practices,0.5731,Sociology and Political Science,Social Sciences,Social Sciences
